"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-5.56748083785014,0.0888970211169851,-62.628429703213,0,-5.74171899923943,-5.39324267646085
"noncore_ratio",11.6682072545534,0.331555106017179,35.1923618209905,2.61684321151367e-271,11.0183592467598,12.3180552623471
"surplus_ratio",-4.07714484780706,0.164727388900544,-24.7508618634676,3.03474874099208e-135,-4.40001053005212,-3.75427916556199
"log_age",0.587081978094838,0.0304820268225247,19.2599390294156,1.16515653129366e-82,0.52733720552269,0.646826750666987
"noncore_ratio:surplus_ratio",-5.76766706221024,0.989596422105741,-5.82830225875044,5.59940932918093e-09,-7.70727604953749,-3.82805807488299
