"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.0873821220502513,0.0126105665420792,6.92927805889392,4.30305416106674e-12,0.062665411627776,0.112098832472727
"emergency_borrowing",2.46598349957147,0.143654431942686,17.1660801983145,8.86898079041796e-66,2.18442081296381,2.74754618617914
"surplus_ratio",-0.101908608175055,0.0109402042917315,-9.31505531867234,1.28773252565735e-20,-0.123351408586849,-0.0804658077632615
"profit_shortfall",0.0191308742556119,0.00801247882455805,2.3876349222885,0.0169624516230751,0.00342641575947815,0.0348353327517457
"loan_ratio",0.137971967311258,0.0138181263707881,9.9848534894669,1.90877389806829e-23,0.110888439624513,0.165055494998003
"leverage",-0.43326870238544,0.0288369723798206,-15.0247639273196,7.28623988334187e-51,-0.489789168249889,-0.376748236520992
"log_age",0.00408719670941165,0.00298163284347319,1.37079141664224,0.170448780859306,-0.0017568036637958,0.00993119708261911
"growth_cat2",-0.0270165707372115,0.00594152808809526,-4.54707447926456,5.45789444054302e-06,-0.0386619657898782,-0.0153711756845448
"growth_cat3",-0.0427953426160474,0.00597831285803984,-7.15843142241958,8.32098527192063e-13,-0.0545128358178055,-0.0310778494142893
"growth_cat4",-0.0638734902970157,0.00588255582029134,-10.8581188599503,2.01816282868165e-27,-0.0754032997047867,-0.0523436808892447
"growth_cat5",-0.0607256826391447,0.00630978758424903,-9.6240454735327,6.73743072047346e-22,-0.0730928663042728,-0.0483584989740166
"gdp_growth_3years",1.05197070357794,0.0678219198150773,15.5107774366493,4.44227621662873e-54,0.919039740740385,1.18490166641549
"inf_cpi_3years",-1.30029102947128,0.106370706060641,-12.224145891539,2.71409560777826e-34,-1.50877761335013,-1.09180444559242
"emergency_borrowing:surplus_ratio",-2.22768927364098,0.321025325991196,-6.939294483271,4.00913599430035e-12,-2.85689891258373,-1.59847963469824
"emergency_borrowing:profit_shortfall",-0.101480485291924,0.181765316829966,-0.558305000435564,0.576639703621815,-0.457740506278657,0.254779535694808
