"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-8.07904008032062,0.121724825427233,-66.371342509341,0,-8.31762073815799,-7.84045942248324
"noncore_ratio",8.77589908042861,0.159367892084734,55.0669207305734,0,8.46353801194253,9.08826014891468
"log_age",-0.474836337558052,0.0192099376308071,-24.7182654459301,6.80529083890817e-135,-0.512487815314434,-0.43718485980167
