"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-26.5660685233914,3637.70688317438,-0.00730297117842792,0.994173123843298,-7156.47155954518,7103.3394224984
"noncore_ratio",-1.03530834375908e-12,40703.0702643654,-2.54356326693485e-17,1,-79778.0177181561,79778.0177181561
"surplus_ratio",3.4170103533867e-13,4953.5689253001,6.89807773933353e-17,1,-9708.9950935882,9708.9950935882
"log_age",2.16667609594334e-13,1151.80514109187,1.881113409417e-16,1,-2257.53807654006,2257.53807654006
"growth_cat2",-4.70459048554514e-14,2435.57293233427,-1.93161552384154e-17,1,-4773.72294737517,4773.72294737517
"growth_cat3",-3.05009575033384e-14,2443.58294870269,-1.24820634877696e-17,1,-4789.42257945728,4789.42257945728
"growth_cat4",-5.41176622552544e-15,2455.6696692141,-2.20378428473948e-18,1,-4813.11255165964,4813.11255165964
"growth_cat5",1.71244941692215e-12,2514.48255496131,6.81034518829066e-16,0.999999999999999,-4928.38580772416,4928.38580772416
"gdp_growth_3years",7.8058428331133e-12,8242.1913128387,9.47059166286797e-16,0.999999999999999,-16154.6949731638,16154.6949731639
"inf_cpi_3years",-2.19078801272026e-12,4931.18109583216,-4.44272471471777e-16,1,-9665.11494783104,9665.11494783103
"noncore_ratio:surplus_ratio",-5.12535394633666e-12,102014.751039668,-5.02413023028765e-17,1,-199948.91203775,199948.91203775
