"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-0.00308321220602345,0.000545395851936403,-5.65316401853194,1.5758510837109e-08,-0.0041521880758188,-0.0020142363362281
"noncore_ratio",0.0517988549518146,0.00150868684111745,34.3337354977182,4.15500538473241e-258,0.0488418287432244,0.0547558811604048
"income_ratio",0.169902501655395,0.02088562286061,8.13490231003971,4.12970539335818e-16,0.128966680848599,0.210838322462191
"log_age",-0.000249846897728729,0.000122928245436181,-2.03246126911035,0.0421073775369223,-0.000490786258783644,-8.90753667381392e-06
"noncore_ratio:income_ratio",-4.28637470007372,0.171711580388725,-24.9626419509395,1.8022517473063e-137,-4.62292939763562,-3.94982000251182
