fold,n_train,n_test,failures_train,failures_test,auc_model1,auc_model2,auc_model3
1,126771,31693,398,91,0.9716494504799043,0.844803256992359,0.9708208063059021
2,126771,31693,384,105,0.9589156822663216,0.8854103728359776,0.9633667396298776
3,126771,31693,384,105,0.9543952797023584,0.9102938427492057,0.9686626024349211
4,126771,31693,391,98,0.9615032086580481,0.8953296020101347,0.9628393151848492
5,126772,31692,399,90,0.9462108586657666,0.8990577248978616,0.9588988741922101
