spec,spec_name,model_type,auc_train,auc_test,auc_degradation,degradation_pct,auc_full,train_vs_full,test_vs_full
1,Model 1: Solvency Only,lpm,0.9621159473015294,0.8817083755243745,0.08040757177715485,8.357368153253875,0.958408871431972,0.00370707586955743,-0.07670049590759742
1,Model 1: Solvency Only,logit,0.5092858618273228,0.49989150875162736,0.009394353075695472,1.8446129727592353,0.949474188296909,-0.44018832646958617,-0.44958267954528164
1,Model 1: Solvency Only,probit,0.5030538021237694,0.4999156179179324,0.0031381842058370024,0.6238267542335155,0.957326085869998,-0.45427228374622863,-0.45741046795206564
2,Model 2: Funding Only,lpm,0.8758438187049509,0.7653258686171028,0.11051795008784804,12.618454081375285,0.887686805560275,-0.011842986855324145,-0.12236093694317218
2,Model 2: Funding Only,logit,0.49999570808082544,0.5,-4.2919191745594e-6,-8.583912032032086e-4,0.888927922443787,-0.3889322143629616,-0.38892792244378704
2,Model 2: Funding Only,probit,0.5,0.5,0,0,0.889456584177753,-0.389456584177753,-0.389456584177753
3,Model 3: Solvency x Funding Interaction,lpm,0.972737875510967,0.7843294254393366,0.18840845007163043,19.36888187608217,0.965190241654426,0.007547633856541003,-0.18086081621508943
3,Model 3: Solvency x Funding Interaction,logit,0.5847360725396437,0.5525142025447204,0.03222186999492327,5.510498070518594,0.960410706697851,-0.37567463415820734,-0.4078965041531306
3,Model 3: Solvency x Funding Interaction,probit,0.5741536974609737,0.5525256229514645,0.02162807450950921,3.766948572334033,0.96578094240404,-0.39162724494306633,-0.41325531945257554
4,Model 4: Full with Growth Controls,lpm,0.9725688838829446,0.7869326655438122,0.18563621833913235,19.08720517543053,0.965308679311648,0.0072602045712966135,-0.17837601376783574
4,Model 4: Full with Growth Controls,logit,0.5830009215488848,0.5262453466485081,0.05675557490037675,9.73507464612434,0.966418873395617,-0.3834179518467322,-0.44017352674710897
4,Model 4: Full with Growth Controls,probit,0.5711329647137794,0.5262434427883681,0.04488952192541129,7.8597322688084486,0.969721740874636,-0.39858877616085664,-0.44347829808626793
