"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-8.09489512237419,0.135096601276469,-59.9193099299986,0,-8.35968446087607,-7.83010578387231
"noncore_ratio",6.26829747000156,0.188179035338749,33.3102859131875,2.74024402313519e-243,5.89946656073761,6.63712837926551
"income_ratio",-18.1696172587319,0.986987125621414,-18.4091735211765,1.10902069356095e-75,-20.1041120249498,-16.2351224925139
"log_age",-0.171211471692812,0.0229781036727706,-7.4510705553,9.25858284262823e-14,-0.216248554891442,-0.126174388494182
"noncore_ratio:income_ratio",-69.7238908099851,2.34316618884069,-29.7562721509232,1.43862007607891e-194,-74.3164965401129,-65.1312850798574
