"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-4.83532280350319,0.0809482850368677,-59.7334804721429,0,-4.99398144217545,-4.67666416483093
"income_ratio",-54.749799077772,0.698557519369732,-78.3755060387433,0,-56.1189718157366,-53.3806263398073
"log_age",-0.270356739406385,0.0222020268059609,-12.1771197633992,4.11560717609638e-34,-0.313872711946068,-0.226840766866701
