fold,n_train,n_test,failures_train,failures_test,auc_model1,auc_model2,auc_model3,repetition
1,126771,31693,399,90,0.9670404005245634,0.8983644309436165,0.9647125624501192,1
2,126771,31693,386,103,0.9619794884088303,0.8867144881168615,0.961748064552811,1
3,126771,31693,393,96,0.9526626341108332,0.8781516705172432,0.9670614166956778,1
4,126771,31693,394,95,0.9276263321129586,0.8791262604895047,0.9422245245368629,1
5,126772,31692,384,105,0.9798681494948946,0.8948557800300606,0.9876308366763301,1
1,126771,31693,403,86,0.9619903156571881,0.8923670867728006,0.971943954128501,2
2,126771,31693,394,95,0.9555108417921186,0.8865194665884916,0.9573084239175697,2
3,126771,31693,381,108,0.9735760059568829,0.8905721773697078,0.9787079544321905,2
4,126771,31693,379,110,0.9437496581878053,0.8838402708016109,0.9475733492989614,2
5,126772,31692,399,90,0.9585490369807818,0.8856840987560562,0.9728979881723379,2
1,126771,31693,403,86,0.9622345947799316,0.8836282218907942,0.9528519219690075,3
2,126771,31693,387,102,0.9615049210466371,0.8851962677382054,0.966879683404494,3
3,126771,31693,400,89,0.953050673432036,0.9091343152409949,0.9713618955927922,3
4,126771,31693,389,100,0.9565827873263065,0.8937296236508087,0.9704801696578356,3
5,126772,31692,377,112,0.958464330950873,0.8691257464036913,0.9629475594861124,3
1,126771,31693,385,104,0.9617195737562004,0.8996181728303669,0.9770471464019851,4
2,126771,31693,404,85,0.9710397218872362,0.8840725356201706,0.9844369258713356,4
3,126771,31693,396,93,0.9561896011977679,0.9072696338641622,0.9614778140737716,4
4,126771,31693,379,110,0.954644759983075,0.8640379030145677,0.9585401237144264,4
5,126772,31692,392,97,0.9500188435139971,0.8854265404776627,0.9473393121383227,4
1,126771,31693,391,98,0.9587476706143766,0.8793331417073872,0.9719982818257863,5
2,126771,31693,396,93,0.9572223356472027,0.8686351572070232,0.9573550428746427,5
3,126771,31693,392,97,0.9586653275959505,0.8948353112686847,0.9672557403194715,5
4,126771,31693,389,100,0.9554834931788687,0.9046579938593992,0.9609445130250373,5
5,126772,31692,388,101,0.9623965467041466,0.8895245575331489,0.9677985113569444,5
