"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-3.3919748926145,0.0442631286580431,-76.6320636487166,0,-3.47873062478426,-3.30521916044473
"noncore_ratio",11.4915281221808,0.248575772225399,46.2294777133817,0,11.004319608619,11.9787366357425
"surplus_ratio",-0.980149086563112,0.0675718291807394,-14.5052916051959,1.12159820760542e-47,-1.11258987175736,-0.847708301368863
"log_age",0.263345394306158,0.0145484101242383,18.1013177424393,3.11134362942505e-73,0.234830510462651,0.291860278149666
"growth_cat2",-0.374465514157628,0.0278554549547333,-13.4431663301194,3.37672785094462e-41,-0.429062205868905,-0.319868822446351
"growth_cat3",-0.508866905671496,0.0293277998811032,-17.3510085221011,1.9381160537476e-67,-0.566349393438458,-0.451384417904534
"growth_cat4",-0.651549497341125,0.0309389462329717,-21.0592013197517,1.88322888386821e-98,-0.712189831957749,-0.5909091627245
"growth_cat5",-0.457592552757769,0.0296983149622562,-15.4080308374171,1.44549795649037e-53,-0.515801250083792,-0.399383855431747
"gdp_growth_3years",-0.351255671738126,0.0992274148893548,-3.53990550020677,0.000400270330367529,-0.545741404921261,-0.156769938554991
"inf_cpi_3years",-2.43836034519028,0.091576565688826,-26.6264663546757,3.35286977790906e-156,-2.61785041394038,-2.25887027644018
"noncore_ratio:surplus_ratio",-6.2411032839113,0.683697606308421,-9.12845565981971,6.94833678174927e-20,-7.58115059227581,-4.90105597554679
