"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.0405815462986165,0.00682673152784455,5.94450596644887,2.79915078439828e-09,0.0272011525040412,0.0539619400931918
"emergency_borrowing",1.68631546907567,0.102335845000949,16.4782483504195,8.91612289320516e-61,1.48573721287381,1.88689372527753
"surplus_ratio",-0.0242122200681888,0.00542966563804994,-4.45924697434676,8.25037468138281e-06,-0.0348543647187666,-0.0135700754176109
"profit_shortfall",0.0146123239135267,0.00495313771686234,2.95011460387642,0.00317866420085954,0.00490417398847651,0.0243204738385769
"loan_ratio",0.0425903173938307,0.0066661605591419,6.38903263969883,1.69033861328876e-10,0.0295246426979125,0.0556559920897488
"leverage",-0.148779095838879,0.0139947914666654,-10.631033423632,2.34486713024056e-26,-0.176208887113543,-0.121349304564215
"log_age",0.00386022389488621,0.00134171374963406,2.87708454649067,0.00401610683551937,0.00123046494560345,0.00648998284416897
"growth_cat2",-0.0234846945587871,0.00365666291104229,-6.42243901888487,1.35826195559472e-10,-0.03065175386443,-0.0163176352531442
"growth_cat3",-0.0284050306372989,0.00354647069849291,-8.00937976151043,1.18832620224846e-15,-0.035356113206345,-0.0214539480682528
"growth_cat4",-0.0371685702664437,0.00330904401080203,-11.2324194374903,3.17160595799432e-29,-0.0436542965276156,-0.0306828440052717
"growth_cat5",-0.0361458755365443,0.00338135614037828,-10.689757019354,1.24962189732781e-26,-0.0427733335716857,-0.0295184175014029
"gdp_growth_3years",-0.0126233415209825,0.0534934459839627,-0.235979217430991,0.813450178198223,-0.117470495649549,0.0922238126075843
"inf_cpi_3years",0.00148114487158276,0.08337652341526,0.0177645314401736,0.985826801399293,-0.161936841022327,0.164899130765492
"emergency_borrowing:surplus_ratio",-2.21839083342258,0.212441676552971,-10.4423523171991,1.73147085358173e-25,-2.6347765194664,-1.80200514737875
"emergency_borrowing:profit_shortfall",0.0976468546710605,0.142001395045568,0.687647150506695,0.491679566875329,-0.180675879618253,0.375969588960374
