k,n_folds_completed,mean_auc_model1,sd_auc_model1,mean_auc_model2,sd_auc_model2,mean_auc_model3,sd_auc_model3,total_test_failures,cv_type
5,5,0.9585348959544798,0.009353685593526798,0.8869789598971077,0.02520150754879715,0.964917667549552,0.004791199847497772,489,5-fold
10,10,0.9587388214148028,0.01821962635738403,0.887206974873872,0.029664158764422174,0.9651501256262072,0.015106643516787433,489,10-fold
