"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.0733452493960698,0.00483939320159926,15.1558772640817,7.82190028640653e-52,0.0638600387209352,0.0828304600712043
"noncore_ratio",1.15701936257673,0.0631173419299918,18.331243477586,6.03759816511493e-75,1.03330937239395,1.28072935275951
"surplus_ratio",-0.0478245282145184,0.00381560808487764,-12.5339204526956,5.15503399533593e-36,-0.0553031200608786,-0.0403459363681583
"loan_ratio",0.0104562055675505,0.00540453491723022,1.93470959623465,0.0530285136501207,-0.000136682870220705,0.0210490940053218
"leverage",-0.152150045508658,0.00927498019731797,-16.4043525993355,2.10207383099148e-60,-0.170329006695401,-0.133971084321915
"log_age",0.00243601233320626,0.000891267767685071,2.73319918158089,0.0062732452113989,0.000689127508543523,0.004182897157869
"growth_cat2",-0.0231801613234676,0.00186521052862948,-12.4276380428219,1.95499937039769e-35,-0.0268359739595814,-0.0195243486873538
"growth_cat3",-0.0292267823765932,0.0018567141516364,-15.7411319081262,9.09865556566845e-56,-0.0328659421138005,-0.0255876226393859
"growth_cat4",-0.0327339302426314,0.00190038924663387,-17.2248555397862,2.11530921366816e-66,-0.0364586931660338,-0.029009167319229
"growth_cat5",-0.0358744586939822,0.00205568291546805,-17.4513580981015,4.1580707331411e-68,-0.0399035972082996,-0.0318453201796649
"gdp_growth_3years",0.0347051652458644,0.00547203175430831,6.34228140553824,2.27265934286432e-10,0.0239799830074201,0.0454303474843087
"inf_cpi_3years",-0.036054632241241,0.00209075272344247,-17.2448094109744,1.4994261402166e-66,-0.0401525075791882,-0.0319567569032937
"noncore_ratio:surplus_ratio",-1.64373466126471,0.129389558542981,-12.703765897143,5.98430791005613e-37,-1.89733819600895,-1.39013112652047
