threshold,sensitivity,specificity,precision,accuracy,true_positives,false_positives,true_negatives,false_negatives
0.001,0.9713701431492843,0.5322297831935433,0.006386898118890428,0.5335849151857835,475,73896,84079,14
0.005,0.9652351738241309,0.7263554359867067,0.01080066817692959,0.7270925888529887,472,43229,114746,17
0.01,0.9529652351738241,0.8576103813894603,0.02029616724738676,0.8579046344911146,466,22494,135481,23
0.02,0.9304703476482618,0.9476309542649153,0.052131072410632445,0.9475779987883683,455,8273,149702,34
0.05,0.8077709611451943,0.986409241968666,0.15538945712037766,0.9858579866720517,395,2147,155828,94
0.1,0.5316973415132924,0.9968222820066466,0.34120734908136485,0.9953869648626817,260,502,157473,229
