"variable","coefficient","std_error","z_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",-3.74621455064042,0.0566021204053908,-66.1850567400939,0,-3.85715470663498,-3.63527439464585
"noncore_ratio",11.0771348595099,0.270131749274206,41.0064159036177,0,10.5476766309324,11.6065930880873
"surplus_ratio",-1.78786594269345,0.0894156166697828,-19.9950076874842,6.08695093114e-89,-1.96312055136622,-1.61261133402067
"log_age",0.304060838862738,0.0186602201691148,16.2946008196624,1.07805223194212e-59,0.267486807331273,0.340634870394203
"growth_cat2",-0.468028995586448,0.0346766050390706,-13.4969670490843,1.62947297947962e-41,-0.535995141463026,-0.400062849709869
"growth_cat3",-0.68275700518345,0.0377141339062937,-18.1034783108068,2.9916484737247e-73,-0.756676707639785,-0.608837302727114
"growth_cat4",-0.866108996957006,0.0406653565775239,-21.2984483563022,1.1734405569597e-100,-0.945813095848953,-0.786404898065059
"growth_cat5",-0.666807099636183,0.0383462567844757,-17.3891053665018,9.97795525932812e-68,-0.741965762933755,-0.591648436338611
"gdp_growth_3years",-0.795574918984759,0.129392392202975,-6.14854479030545,7.81970465231082e-10,-1.04918400770259,-0.541965830266929
"inf_cpi_3years",-4.55312632448801,0.148334604542463,-30.6949705938953,6.64294663163218e-207,-4.84386214939124,-4.26239049958478
"noncore_ratio:surplus_ratio",-4.75322826948174,0.764082279951022,-6.22083301000833,4.9452227306631e-10,-6.25082953818574,-3.25562700077774
