"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.00332348170497108,0.00132955454897391,2.49969563681009,0.0124314436916839,0.000717554788982223,0.00592940862095994
"noncore_ratio",0.531511822487406,0.0348720881762282,15.2417549474347,2.11242672050606e-52,0.463162529661999,0.599861115312813
"surplus_ratio",-0.0162031028696303,0.001724470537179,-9.39598706982631,5.77152125999746e-21,-0.0195830651225011,-0.0128231406167594
"loan_ratio",0.00269706497874213,0.001508386844953,1.78804594309902,0.0737713364966192,-0.000259373237365738,0.00565350319485
"leverage",-0.0198398294615496,0.00384413796628946,-5.161060720383,2.45978393380116e-07,-0.0273743398754769,-0.0123053190476222
"log_age",0.00246928293065743,0.000365983939308946,6.74697074226796,1.51704303758422e-11,0.0017519544096119,0.00318661145170296
"noncore_ratio:surplus_ratio",-0.835509748759379,0.0729819752451039,-11.4481657416559,2.49836648697568e-30,-0.978554420239783,-0.692465077278976
