income_percentile,income_value,marginal_effect,interpretation,effect_magnitude
P10,0.0013606627334926942,0.0411386142756491,Higher noncore INCREASES failure risk,0.0411386142756491
P25,0.0055023713478449055,0.02809478428155081,Higher noncore INCREASES failure risk,0.02809478428155081
P50,0.00924517406742461,0.016307262048221947,Higher noncore INCREASES failure risk,0.016307262048221947
P75,0.013007304036889069,0.004458870887302034,Higher noncore INCREASES failure risk,0.004458870887302034
P90,0.017472594631141588,-0.009604042950683102,Higher noncore DECREASES failure risk,0.009604042950683102
