model,insample_auc,cv5_auc,cv10_auc,repeated_cv_auc,degradation_5fold,degradation_10fold,degradation_repeated
Model 1 (Solvency),0.9584837237390011,0.9585348959544798,0.9587388214148028,0.9584207217936586,-0.0053388716168343685,-0.026614711286546414,0.0065730845273846965
Model 2 (Funding),0.8876868055602752,0.8869789598971077,0.887206974873872,0.8877768341077209,0.07974047363706611,0.054054051879297106,-0.010141926959119486
Model 3 (Interaction),0.9651902416544257,0.964917667549552,0.9651501256262072,0.9652209486629331,0.028240453861870112,0.00415628199366738,-0.0031814462250204178
