"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.0302048036027149,0.00532053510009423,5.67702365165863,1.38138955851873e-08,0.0197765548065302,0.0406330523988996
"surplus_ratio",-0.110974349174319,0.00595710542383725,-18.6289046909019,4.41635716800177e-77,-0.12265027580504,-0.0992984225435981
"profit_shortfall",0.0332568682708458,0.00556340855561717,5.97778644842963,2.28371437212264e-09,0.0223525875018361,0.0441611490398554
"loan_ratio",0.122097759961937,0.0076851442535419,15.8875039861047,1.21974141961768e-56,0.107034877224994,0.137160642698879
"leverage",-0.0949199396760092,0.0137327803132477,-6.91192442541605,4.86284827628184e-12,-0.121836189089975,-0.0680036902620438
"log_age",0.0029151631637014,0.00137752239630076,2.11623649207437,0.0343317235570718,0.000215219266951913,0.00561510706045089
