"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.015627720483636,0.00198711350922252,7.86453336012523,3.73800743750016e-15,0.0117329780055599,0.0195224629617122
"surplus_ratio",-0.0402113421866281,0.00213978310866501,-18.7922514313685,1.16014261268864e-78,-0.0444053170796115,-0.0360173672936446
"loan_ratio",0.00558921766156399,0.00280885457236311,1.98985654741881,0.046609201818511,8.38626997322995e-05,0.0110945726233957
"leverage",-0.0204880592277196,0.00398939097623959,-5.13563582755976,2.81667915047214e-07,-0.0283072655411492,-0.01266885291429
"log_age",0.00260184277532981,0.00038013217210369,6.84457398312527,7.71019152147286e-12,0.00185678371800658,0.00334690183265304
