"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0.125723788073821,0.0143768227550385,8.74489379301553,2.32989867900941e-18,0.0975452154739454,0.153902360673697
"emergency_borrowing",2.49184396772678,0.149096635378961,16.7129456770988,1.84410779657196e-62,2.19961456238402,2.78407337306955
"surplus_ratio",-0.100196199231593,0.0132447257905158,-7.56498857102356,3.97395660163139e-14,-0.126155861781004,-0.0742365366821823
"profit_shortfall",0.0158586851430378,0.00873621036996728,1.81528196683034,0.069489146445409,-0.00126428718209807,0.0329816574681737
"loan_ratio",0.183919238360251,0.0165196631209875,11.1333528422011,9.64880066872284e-29,0.151540698643115,0.216297778077386
"leverage",-0.538216404361438,0.0341337905390305,-15.7678475159684,8.06600660117111e-56,-0.605118633817938,-0.471314174904938
"log_age",0.00313586558010797,0.00357660692557506,0.876771097680456,0.380617000494814,-0.00387428399401915,0.0101460151542351
"growth_cat2",-0.0267497897481113,0.00648113456231932,-4.1273313323306,3.67846699656589e-05,-0.0394528134902572,-0.0140467660059654
"growth_cat3",-0.0443160820102487,0.00665198834214803,-6.66208052853237,2.73973742597434e-11,-0.0573539791608589,-0.0312781848596386
"growth_cat4",-0.0672157726610783,0.00656888957269472,-10.232440645749,1.5366421259979e-24,-0.08009079622356,-0.0543407490985967
"growth_cat5",-0.0670293129241964,0.00706887777658708,-9.48231318218643,2.63808649724113e-21,-0.0808843133663071,-0.0531743124820857
"gdp_growth_3years",1.40977318844845,0.0717947998408903,19.6361462330525,2.19225903936069e-85,1.26905538076031,1.5504909961366
"inf_cpi_3years",-1.48442018396616,0.106528355296072,-13.9345076701931,5.12646378422506e-44,-1.69321576034646,-1.27562460758586
"emergency_borrowing:surplus_ratio",-1.97124722816412,0.339520933558902,-5.80596668223444,6.45477833495107e-09,-2.63670825793957,-1.30578619838867
"emergency_borrowing:profit_shortfall",-0.196482769097467,0.184665529384098,-1.06399266691939,0.287339364702029,-0.558427206690299,0.165461668495365
