decile,n,n_failures,failure_rate,mean_pred_prob,min_pred_prob,max_pred_prob,pct_failures,cumulative_pct
1,15847,2,0.012620685303211965,0,0,0,0.408997955010225,0.408997955010225
2,15847,2,0.012620685303211965,0,0,0,0.408997955010225,0.81799591002045
3,15847,2,0.012620685303211965,0,0,0,0.408997955010225,1.226993865030675
4,15847,3,0.018931027954817947,0,0,0,0.6134969325153374,1.8404907975460125
5,15846,5,0.03155370440489713,8.029821633062659e-5,0,4.997117073867637e-4,1.0224948875255624,2.8629856850715747
6,15846,1,0.006310740880979426,0.0013406908841632262,4.997261532610365e-4,0.0022275547639026942,0.2044989775051125,3.067484662576687
7,15846,0,0,0.003258359323163814,0.0022275951737972585,0.004381609411922175,0,3.067484662576687
8,15846,5,0.03155370440489713,0.005797165422193173,0.004381910207393718,0.007419830472566015,1.0224948875255624,4.08997955010225
9,15846,5,0.03155370440489713,0.009918855336248061,0.007419956428917823,0.013293057537045926,1.0224948875255624,5.112474437627812
10,15846,464,2.928183768774454,0.03438023498931529,0.01329317122748047,1,94.88752556237219,100
